"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"68","298.2843147069588","221.42722474004236","0.00390625","0.0048828125","0.0029296875","2200","0.00019773866473256235","32","0.00019773866473256235","0","0.00019773866473256235","0.00019773866473256235","67:0.0008908022592805931;69:0.0008983085224530396","67:68;69:68","67:0.0014442920495129907;69:0.0008772512456591275","0.00390625","0.003173828125","Yes"
"69","364.12532017905085","431.0535763105705","0.00390625","0.00341796875","0.00439453125","2200","0.000060917037827533755","32","0.000060917037827533755","0","0.000060917037827533755","0.000060917037827533755","78:0.0012639218064963154;68:0.0008983085224530396;70:0.0019024079555310935","78:68;68:68;70:68","78:0.0011023167875940654;68:0.0008772512456591275;70:0.0011273626364072253","0.00390625","0.00439453125","Yes"
"70","99.9164880096833","170.6611331443738","0.005126953125","0.009765625","0.00048828125","2200","0.00021388771602884945","32","0.00021388771602884945","0","0.00021388771602884945","0.00021388771602884945","69:0.0019024079555310935;71:0.002124889037892763","69:68;71:68","69:0.0011273626364072253;71:0.001111083140482999","0.005126953125","0.00439453125","Yes"
"71","262.39155798141013","320.9103860752936","0.0029296875","0.0048828125","0.0009765625","2200","0.0001153033911384632","32","0.0001153033911384632","0","0.0001153033911384632","0.0001153033911384632","72:0.001393749080447454;58:0.0010010795937113182;70:0.002124889037892763","72:68;58:68;70:68","72:0.0009061998375419211;58:0.0011037901615711387;70:0.001111083140482999","0.0029296875","0.002685546875","Yes"
"72","261.72185096471475","305.80082699157873","0.00537109375","0.00341796875","0.00732421875","2200","0.00009317504303604371","32","0.00009317504303604371","0","0.00009317504303604371","0.00009317504303604371","73:0.0015852753890913396;71:0.001393749080447454","73:68;71:68","73:0.001026805531083197;71:0.0009061998375419211","0.00537109375","0.005126953125","Yes"
"73","296.6235836786236","299.8564259788864","0.0048828125","0.00830078125","0.00146484375","2200","0.00028661518576642014","32","0.00028661518576642014","0","0.00028661518576642014","0.00028661518576642014","72:0.0015852753890913396;74:0.001616501288680794;79:0.0012518442253336426","72:68;74:68;79:68","72:0.001026805531083197;74:0.001279393018903091;79:0.0012879075030991227","0.0048828125","0.001953125","Yes"
"74","342.62558877716225","293.44620413448666","0.0048828125","0.0029296875","0.0068359375","2200","0.00015370731126548496","32","0.00015370731126548496","0","0.00015370731126548496","0.00015370731126548496","73:0.001616501288680794;75:0.0015680092746936936","73:68;75:68","73:0.001279393018903091;75:0.001103423406004056","0.0048828125","0.004150390625","Yes"
"75","360.85360519658224","507.8549885428915","0.001953125","0.00341796875","0.00048828125","2200","0.0000799277073520948","32","0.0000799277073520948","0","0.0000799277073520948","0.0000799277073520948","59:0.0018938673764053449;74:0.0015680092746936936","59:68;74:68","59:0.0011903846858153377;74:0.001103423406004056","0.001953125","0.002197265625","Yes"
"76","279.2387408841641","343.98341785232816","0.005615234375","0.0029296875","0.00830078125","2200","0.00015573022528957167","32","0.00015573022528957167","0","0.00015573022528957167","0.00015573022528957167","81:0.0009245928559835637;61:0.0012100539907906882","81:68;61:68","81:0.0012644508781193275;61:0.0010211847255389428","0.005615234375","0.006103515625","Yes"
"77","261.21996191031343","378.5365120720914","0.00537109375","0.005859375","0.0048828125","2200","0.00013982255929201407","32","0.00013982255929201407","0","0.00013982255929201407","0.00013982255929201407","85:0.1445154484446346;65:0.0010828275766263384","85:68;65:68","65:0.000920048159480269","0.00537109375","0.00439453125","Yes"
