"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"50","192.91568858408456","170.55015505800708","0.100341796875","0.125","0.07568359375","1560","","32","","0","","","56:0.001846515885941119;49:0.00212737066821983;51:0.0015055664800345814","56:68;49:68;51:68","56:0.0018923838660577785;49:0.0016799131067867235;51:0.0016490401242640895","0.100341796875","Yes"
"51","274.57907229704074","169.0177089650406","0.01708984375","0.01513671875","0.01904296875","1560","0.0001470738043811087","32","0.0001470738043811087","0","0.0001470738043811087","0.0001470738043811087","50:0.0015055664800345814;52:0.002552760406226734","50:68;52:68","50:0.0016490401242640895;52:0.0018178824255055126","0.01708984375","Yes"
"52","179.70365483559934","175.55973138273103","0.06201171875","0.0458984375","0.078125","1560","0.00014530021848913928","32","0.00014530021848913928","0","0.00014530021848913928","0.00014530021848913928","51:0.002552760406226734;37:0.002458021071119948","51:68;37:104","51:0.0018178824255055126;37:0.004480197335754027","0.06201171875","Yes"
"53","22.368561299607723","62.413003713541706","0.45556640625","0.90625","0.0048828125","1560","","32","","0","","","","38:68;57:108","","0.45556640625","Yes"
"54","147.5181448796399","109.08686528060224","0.01611328125","0.015625","0.0166015625","1560","0.00042825954617210066","32","0.00042825954617210066","0","0.00042825954617210066","0.00042825954617210066","42:0.002431603353010542;61:0.005653666019258957","42:80;61:152","42:0.0022616434397347007;61:0.004835294117213285","0.01611328125","Yes"
"55","168.48657279259967","129.79874375952588","0.016845703125","0.02197265625","0.01171875","1560","0.00017652202846453555","32","0.00017652202846453555","0","0.00017652202846453555","0.00017652202846453555","65:0.003640002857011576;46:0.002274305595279441","65:120;46:68","65:0.003574481508142574;46:0.0029905299309711253","0.016845703125","Yes"
"56","259.2946697663784","187.43685448254115","0.0537109375","0.04150390625","0.06591796875","1560","0.00014401908614716482","32","0.00014401908614716482","0","0.00014401908614716482","0.00014401908614716482","50:0.001846515885941119;69:0.0038357128487368497","50:68;69:160","50:0.0018923838660577785;69:0.003248699526068599","0.0537109375","Yes"
"57","160.448907833562","95.06896094233281","0.03076171875","0.02392578125","0.03759765625","1560","0.0003129956047103544","32","0.0003129956047103544","0","0.0003129956047103544","0.0003129956047103544","58:0.002442180127882304","53:108;58:68","58:0.0026403894822502605","0.03076171875","Yes"
"58","163.07137880065096","155.36039385686476","0.02294921875","0.02099609375","0.02490234375","1560","0.0003428105609114901","32","0.0003428105609114901","0","0.0003428105609114901","0.0003428105609114901","57:0.002442180127882304;59:0.006349588114639482","57:68;59:68","57:0.0026403894822502605;59:0.006571263572209107","0.02294921875","Yes"
"59","106.06461668685654","113.00017118703248","0.071533203125","0.08740234375","0.0556640625","1560","0.0002561488902750069","32","0.0002561488902750069","0","0.0002561488902750069","0.0002561488902750069","72:0.005458933961344115;58:0.006349588114639482;60:0.0047003193474785265","72:68;58:68;60:68","72:0.006198358151183081;58:0.006571263572209107;60:0.005975851157150686","0.071533203125","Yes"
